"";"requested";"funded";"interestrate";"loanlength";"loanpurpose";"debt_income";"state";"homeownership";"monthlyincome";"FICOrange";"opencreditlines";"revolvingcredit";"inquiries";"emplength";"bal_income";"bal_yearincome";"fundedPerc";"FICOavg"
"10356";4000;4000;0,1682;"60 months";"vacation";0,1371;"GA";"MORTGAGE";4500;"670-674";5;20804;0;3;4,62311111111111;0,385259259259259;1;672
"46027";7200;7200;0,079;"36 months";"debt_consolidation";0,2482;"TX";"RENT";5416,67;"705-709";8;12017;0;7;2,21852171167895;0,184876809306579;1;707
"2238";8000;8000;0,1442;"36 months";"debt_consolidation";0,2463;"MA";"RENT";2964,17;"675-679";9;8928;2;6;3,01197299750014;0,250997749791679;1;677
"65278";8000;8000;0,1531;"36 months";"debt_consolidation";0,1546;"CA";"MORTGAGE";2916,67;"675-679";13;7152;1;5;2,45211148330116;0,20434262360843;1;677
"4227";3000;3000;0,0859;"36 months";"other";0,0372;"MA";"MORTGAGE";4167;"765-769";4;7074;0;5;1,69762419006479;0,1414686825054;1;767
"50182";14500;14500;0,079;"36 months";"debt_consolidation";0,0485;"GA";"MORTGAGE";3958,33;"760-764";4;9598;0;4;2,42475993663995;0,202063328053329;1;762
"87023";23850;23850;0,21;"60 months";"debt_consolidation";0,2881;"LA";"MORTGAGE";5833,33;"685-689";19;25968;3;9;4,45165968666268;0,370971640555223;1;687
"46120";14000;14000;0,1212;"36 months";"debt_consolidation";0,1493;"CA";"MORTGAGE";10583,33;"685-689";9;35457;0;2;3,3502687717382;0,279189064311516;1;687
"30756";35000;34975;0,1649;"60 months";"debt_consolidation";0,0745;"GA";"MORTGAGE";10416,67;"720-724";7;31414;0;8;3,01574303496223;0,251311919580186;0,999285714285714;722
"94582";16000;16000;0,158;"60 months";"car";0,1194;"WV";"RENT";5250;"685-689";14;154;1;3;0,0293333333333333;0,00244444444444444;1;687
"457";17350;7019,25;0,1355;"36 months";"debt_consolidation";0,1852;"NH";"OWN";3666,67;"675-679";8;18966;2;6;5,17254075223568;0,431045062686307;0,40456772334294;677
"96536";8000;7975;0,079;"36 months";"car";0,2962;"AL";"MORTGAGE";5583,33;"780-784";9;6065;1;11;1,08626930523541;0,0905224421029505;0,996875;782
"39591";7200;7200;0,079;"36 months";"debt_consolidation";0,0798;"GA";"RENT";5666,67;"720-724";5;8783;0;3;1,54994026474102;0,129161688728418;1;722
"78862";20125;20125;0,0762;"36 months";"home_improvement";0,0429;"VA";"MORTGAGE";3750;"830-834";13;73952;0;1;19,7205333333333;1,64337777777778;1;832
"54619";12000;11875;0,089;"36 months";"debt_consolidation";0,1206;"NY";"RENT";5000;"715-719";11;14717;0;4;2,9434;0,245283333333333;0,989583333333333;717
"101798";2400;1850;0,1249;"36 months";"home_improvement";0,2056;"MD";"MORTGAGE";3448,33;"660-664";10;18749;5;0;5,4371246371432;0,453093719761933;0,770833333333333;662
"98029";3200;3200;0,1727;"36 months";"home_improvement";0,0836;"HI";"MORTGAGE";2500;"670-674";7;6619;1;3;2,6476;0,220633333333333;1;672
"95579";12725;12725;0,1114;"36 months";"debt_consolidation";0,2215;"TX";"RENT";4416,67;"720-724";23;4079;0;3;0,923546472795115;0,0769622060662596;1;722
"4868";5500;5500;0,1913;"36 months";"credit_card";0,0358;"DC";"RENT";12000;"660-664";2;0;1;8;0;0;1;662
"26822";15650;15650;0,2174;"36 months";"house";0,1386;"MD";"RENT";3700;"660-664";5;10605;1;4;2,86621621621622;0,238851351351351;1;662
"98445";9000;9000;0,1727;"36 months";"credit_card";0,2522;"CA";"RENT";5166,67;"675-679";14;5852;1;11;1,13264443055198;0,0943870358793317;1;677
"14958";5000;5000;0,1186;"36 months";"major_purchase";0,04;"TX";"RENT";5577;"715-719";3;1069;0;1;0,191680114757038;0,0159733428964198;1;717
"14754";3000;3000;0,1038;"36 months";"debt_consolidation";0,1521;"PA";"RENT";3083,33;"710-714";11;3098;0;2;1,00475784298145;0,0837298202484543;1;712
"34501";20000;19975;0,2391;"60 months";"debt_consolidation";0,0947;"CA";"MORTGAGE";11250;"670-674";5;11168;0;0;0,992711111111111;0,0827259259259259;0,99875;672
"26888";5450;5450;0,0749;"60 months";"other";0,0248;"WA";"MORTGAGE";4600;"785-789";14;4326;0;11;0,940434782608696;0,0783695652173913;1;787
"81759";14000;14000;0,1212;"36 months";"debt_consolidation";0,1138;"NY";"MORTGAGE";4500;"705-709";22;18583;0;5;4,12955555555556;0,34412962962963;1;707
"10825";8800;8799,04;0,1038;"60 months";"credit_card";0,2159;"IL";"RENT";3750;"750-754";11;18694;1;2;4,98506666666667;0,415422222222222;0,999890909090909;752
"16667";3000;3000;0,1744;"36 months";"other";0,1579;"MD";"RENT";7952;"660-664";4;12578;0;8;1,58174044265594;0,131811703554661;1;662
"92046";32000;32000;0,1727;"60 months";"debt_consolidation";0,1561;"IL";"RENT";9250;"700-704";15;32566;1;2;3,52064864864865;0,293387387387387;1;702
"88279";22250;22250;0,2149;"60 months";"debt_consolidation";0,2887;"HI";"RENT";4166,67;"665-669";15;14107;0;9;3,38567729145817;0,282139774288181;1;667
"17218";7325;7300;0,178;"60 months";"debt_consolidation";0,2037;"NY";"OWN";3000;"680-684";6;13583;0;5;4,52766666666667;0,377305555555556;0,996587030716723;682
"82406";16450;16450;0,1114;"36 months";"debt_consolidation";0,0757;"NC";"RENT";7500;"725-729";5;2928;0;1;0,3904;0,0325333333333333;1;727
"17143";2500;2500;0,1298;"36 months";"debt_consolidation";0,1645;"WI";"RENT";1100;"670-674";6;5019;1;4;4,56272727272727;0,380227272727273;1;672
"27486";6000;6000;0,0999;"36 months";"other";0,075;"FL";"MORTGAGE";2625;"715-719";4;5167;0;11;1,96838095238095;0,164031746031746;1;717
"96613";27575;27575;0,1433;"36 months";"debt_consolidation";0,1963;"CA";"MORTGAGE";5166,67;"690-694";6;8720;0;11;1,68774084661881;0,140645070551567;1;692
"6263";1000;1000;0,0859;"36 months";"educational";0,1069;"NY";"OWN";4583,33;"755-759";22;17069;1;0;3,72414816301685;0,310345680251404;1;757
"29283";12000;12000;0,1149;"36 months";"debt_consolidation";0,1285;"IL";"RENT";2708,33;"705-709";8;12150;1;0;4,48615936758076;0,373846613965063;1;707
"99766";30000;30000;0,1016;"36 months";"debt_consolidation";0,2221;"SD";"MORTGAGE";8000;"715-719";14;33218;0;11;4,15225;0,346020833333333;1;717
"85893";13500;13500;0,1433;"36 months";"debt_consolidation";0,317;"WV";"RENT";4166,67;"680-684";11;31168;0;1;7,48031401574879;0,623359501312399;1;682
"98972";9000;9000;0,158;"36 months";"debt_consolidation";0,2265;"OH";"MORTGAGE";3250;"665-669";9;16480;0;3;5,07076923076923;0,422564102564103;1;667
"44054";15000;15000;0,0991;"36 months";"debt_consolidation";0,0916;"AK";"MORTGAGE";4250;"730-734";11;11615;1;11;2,73294117647059;0,227745098039216;1;732
"51948";5300;5300;0,079;"36 months";"medical";0,1282;"CA";"RENT";5500;"725-729";8;9996;2;1;1,81745454545455;0,151454545454545;1;727
"48676";7000;7000;0,1311;"36 months";"debt_consolidation";0,1676;"NJ";"RENT";3650;"685-689";12;6444;1;5;1,76547945205479;0,147123287671233;1;687
"82294";20000;19975;0,1629;"36 months";"debt_consolidation";0,1185;"CA";"RENT";9166,67;"685-689";10;12421;3;0;1,35501768908448;0,11291814075704;0,99875;687
"20328";15000;14993,57;0,1825;"60 months";"debt_consolidation";0,1365;"CA";"RENT";2916,67;"705-709";4;12786;0;0;4,38376641855266;0,365313868212722;0,999571333333333;707
"71489";8000;8000;0,1409;"36 months";"home_improvement";0,1206;"HI";"RENT";5000;"695-699";10;15360;1;6;3,072;0,256;1;697
"43203";24000;23947,48;0,1903;"60 months";"debt_consolidation";0,0363;"CA";"RENT";7500;"695-699";6;8568;1;11;1,1424;0,0952;0,997811666666667;697
"48319";7500;7500;0,089;"36 months";"debt_consolidation";0,1002;"DE";"RENT";5500;"715-719";9;2382;0;6;0,433090909090909;0,0360909090909091;1;717
"5367";17000;16875;0,1183;"36 months";"debt_consolidation";0,127;"GA";"RENT";4583,33;"735-739";5;3644;1;6;0,795055123676454;0,0662545936397045;0,992647058823529;737
"83768";12000;12000;0,1727;"36 months";"credit_card";0,1486;"NJ";"OWN";4583,33;"665-669";12;9145;1;11;1,99527417838122;0,166272848198435;1;667
"88084";6000;6000;0,1531;"36 months";"other";0,1591;"MN";"RENT";3833,33;"670-674";11;5760;1;11;1,50261000226957;0,125217500189131;1;672
"101540";6725;825;0,1312;"36 months";"debt_consolidation";0,1316;"MO";"MORTGAGE";5000;"670-674";10;5513;9;11;1,1026;0,0918833333333333;0,122676579925651;672
"9664";4500;4500;0,0676;"36 months";"debt_consolidation";0,1474;"WV";"MORTGAGE";2666,67;"790-794";7;2705;0;7;1,01437373203283;0,0845311443360696;1;792
"1494";1600;1600;0,1083;"36 months";"other";0,0536;"RI";"RENT";2427;"700-704";5;7020;0;3;2,89245982694685;0,241038318912237;1;702
"61703";10000;10000;0,1777;"36 months";"wedding";0,304;"NY";"OWN";2500;"665-669";5;8379;0;8;3,3516;0,2793;1;667
"61576";18550;18525;0,079;"36 months";"debt_consolidation";0,1693;"GA";"MORTGAGE";5416,67;"725-729";10;28877;0;3;5,33113518083989;0,444261265069991;0,998652291105121;727
"21993";7450;7450;0,1306;"36 months";"debt_consolidation";0,033;"WA";"MORTGAGE";5883,33;"710-714";2;6416;1;11;1,09053886149511;0,0908782384579255;1;712
"58359";3225;3225;0,0762;"36 months";"debt_consolidation";0,1779;"CA";"MORTGAGE";5833,33;"760-764";5;70323;1;11;12,055378317359;1,00461485977992;1;762
"67335";23675;23675;0,1777;"36 months";"credit_card";0,2994;"PA";"OWN";6399;"680-684";21;21920;0;11;3,42553523988123;0,285461269990103;1;682
"57080";12000;12000;0,1212;"36 months";"debt_consolidation";0,1862;"VA";"RENT";5833,33;"690-694";16;18838;0;11;3,22937327392759;0,269114439493965;1;692
"30035";25000;25000;0,1649;"36 months";"debt_consolidation";0,1818;"MA";"RENT";6000;"695-699";9;10630;2;7;1,77166666666667;0,147638888888889;1;697
"103948";16000;15850;0,1112;"36 months";"credit_card";0,1786;"CA";"MORTGAGE";6666,67;"725-729";7;18659;4;5;2,7988486005757;0,233237383381308;0,990625;727
"96659";4200;4175;0,089;"36 months";"car";0,1016;"NC";"MORTGAGE";3041,67;"810-814";4;1548;0;11;0,508930949116768;0,0424109124263973;0,994047619047619;812
"67158";10000;10000;0,1409;"36 months";"debt_consolidation";0,2145;"CO";"RENT";4583,33;"675-679";11;8548;0;6;1,86501953819603;0,155418294849669;1;677
"33777";6000;6000;0,0751;"36 months";"home_improvement";0,0252;"NJ";"MORTGAGE";4800;"750-754";4;1442;0;11;0,300416666666667;0,0250347222222222;1;752
"59724";6000;6000;0,1311;"36 months";"debt_consolidation";0,1533;"KS";"RENT";3333,33;"685-689";7;12503;2;2;3,75090375090375;0,312575312575313;1;687
"95096";7925;7925;0,1629;"36 months";"debt_consolidation";0,2125;"GA";"RENT";2000;"665-669";6;7840;0;6;3,92;0,326666666666667;1;667
"67629";16000;15925;0,0762;"36 months";"debt_consolidation";0,0648;"IL";"MORTGAGE";6000;"765-769";8;19539;0;NA;3,2565;0,271375;0,9953125;767
"51929";9525;9500;0,1581;"36 months";"small_business";0,1135;"CA";"RENT";2666,67;"670-674";15;5610;1;NA;2,10374737031579;0,175312280859649;0,99737532808399;672
"13216";6000;6000;0,1435;"36 months";"debt_consolidation";0,1408;"IL";"MORTGAGE";2500;"675-679";9;3621;3;0;1,4484;0,1207;1;677
"103405";10000;9975;0,1496;"36 months";"debt_consolidation";0,115;"FL";"MORTGAGE";5250;"675-679";4;3035;5;2;0,578095238095238;0,0481746031746032;0,9975;677
"53271";7000;7000;0,0662;"36 months";"major_purchase";0,0803;"NM";"MORTGAGE";10000;"750-754";9;6761;1;6;0,6761;0,0563416666666667;1;752
"25380";4500;4500;0,0599;"36 months";"debt_consolidation";0,1848;"CA";"MORTGAGE";10000;"765-769";18;17863;3;6;1,7863;0,148858333333333;1;767
"6987";12000;12000;0,1114;"36 months";"debt_consolidation";0,0237;"MD";"MORTGAGE";12500;"735-739";13;10944;0;5;0,87552;0,07296;1;737
"96413";10375;10375;0,1972;"36 months";"debt_consolidation";0,0499;"CT";"RENT";4166,67;"665-669";9;6122;1;5;1,46927882457694;0,122439902048078;1;667
"88273";4800;4800;0,1875;"36 months";"other";0,1089;"NM";"MORTGAGE";5833,33;"670-674";8;17943;0;11;3,07594461482549;0,256328717902125;1;672
"48519";6400;6400;0,1311;"36 months";"credit_card";0,1146;"LA";"MORTGAGE";4666,67;"700-704";7;8942;1;11;1,91614148847037;0,15967845737253;1;702
"69456";5000;5000;0,079;"36 months";"debt_consolidation";0,1722;"CA";"OWN";4000;"705-709";10;6023;0;11;1,50575;0,125479166666667;1;707
"41198";12000;12000;0,0662;"36 months";"credit_card";0,2166;"NC";"RENT";5250;"740-744";11;20639;0;0;3,9312380952381;0,327603174603175;1;742
"44282";23850;23820,25;0,2148;"60 months";"other";0,1875;"NY";"MORTGAGE";4250;"690-694";23;37251;0;4;8,76494117647059;0,730411764705882;0,998752620545073;692
"34122";15000;15000;0,1065;"36 months";"small_business";0,1615;"OH";"MORTGAGE";7083,33;"720-724";14;338;2;9;0,0477176695141974;0,00397647245951645;1;722
"84563";8000;8000;0,0762;"36 months";"other";0;"NC";"MORTGAGE";3500;"765-769";7;0;1;NA;0;0;1;767
"98634";20000;20000;0,0603;"36 months";"credit_card";0,1867;"FL";"MORTGAGE";14583,33;"715-719";9;29044;0;7;1,99158902664892;0,165965752220743;1;717
"73526";20000;19975;0,1311;"36 months";"debt_consolidation";0,1509;"NC";"RENT";8233,33;"710-714";17;29756;2;0;3,61409053202046;0,301174211001705;0,99875;712
"82476";10000;10000;0,1409;"36 months";"debt_consolidation";0,1059;"CA";"RENT";2916,67;"690-694";9;10390;3;0;3,56228164310669;0,296856803592224;1;692
"67263";18825;18825;0,1409;"36 months";"credit_card";0,1308;"MI";"RENT";4000;"710-714";6;20694;1;4;5,1735;0,431125;1;712
"41267";35000;34975;0,079;"36 months";"small_business";0,0159;"IL";"RENT";18333,33;"775-779";10;1992;0;1;0,108654565209921;0,00905454710082674;0,999285714285714;777
"64884";9000;9000;0,0603;"36 months";"vacation";0,0558;"NJ";"MORTGAGE";9583,33;"815-819";11;675;0;NA;0,070434807107759;0,00586956725897992;1;817
"18452";4000;4000;0,0617;"36 months";"home_improvement";0,15;"CT";"RENT";4234;"745-749";5;587;1;2;0,13863958431743;0,0115532986931192;1;747
"57866";5750;5750;0,1399;"36 months";"credit_card";0,1244;"CA";"RENT";5000;"660-664";13;12465;0;11;2,493;0,20775;1;662
"77151";20950;20950;0,158;"36 months";"debt_consolidation";0,1571;"MA";"MORTGAGE";12916,67;"690-694";8;30188;1;4;2,33713488073939;0,194761240061615;1;692
"25405";8000;8000;0,1099;"36 months";"credit_card";0,1476;"NY";"RENT";7500;"710-714";9;7120;2;0;0,949333333333333;0,0791111111111111;1;712
"85644";10000;10000;0,1016;"36 months";"debt_consolidation";0,093;"TX";"MORTGAGE";3333,33;"725-729";8;8940;2;NA;2,68200268200268;0,223500223500223;1;727
"85686";10000;10000;0,1409;"36 months";"small_business";0,1476;"NY";"RENT";5000;"675-679";7;4762;0;4;0,9524;0,0793666666666667;1;677
"54649";14000;14000;0,0603;"36 months";"credit_card";0,1953;"CT";"MORTGAGE";6000;"765-769";13;4140;0;8;0,69;0,0575;1;767
"19069";5000;5000;0,0766;"36 months";"credit_card";0,0333;"RI";"RENT";9000;"735-739";3;12297;0;11;1,36633333333333;0,113861111111111;1;737
"74479";25000;25000;0,1905;"60 months";"debt_consolidation";0,1053;"IL";"MORTGAGE";6250;"700-704";8;15159;1;9;2,42544;0,20212;1;702
"76693";35000;35000;0,089;"36 months";"debt_consolidation";0,1462;"CA";"RENT";10416,67;"735-739";9;21321;0;11;2,04681534501909;0,170567945418257;1;737
"63266";7200;7175;0,1114;"36 months";"debt_consolidation";0,2789;"OK";"MORTGAGE";3750;"690-694";8;20342;0;11;5,42453333333333;0,452044444444444;0,996527777777778;692
"32008";14000;14000;0,0849;"60 months";"debt_consolidation";0,0989;"CA";"MORTGAGE";9000;"760-764";17;23773;0;4;2,64144444444444;0,22012037037037;1;762
"13996";15000;14975;0,1521;"36 months";"debt_consolidation";0,191;"TX";"RENT";5132;"680-684";4;34044;1;3;6,63367108339829;0,552805923616524;0,998333333333333;682
"80638";25000;25000;0,1972;"60 months";"debt_consolidation";0,321;"NY";"OWN";4916,67;"695-699";21;35208;1;7;7,16094429766488;0,59674535813874;1;697
"36889";10800;10800;0,1465;"36 months";"debt_consolidation";0,0789;"CA";"RENT";9583,33;"675-679";6;6487;1;0;0,676904583271159;0,0564087152725966;1;677
"72169";20000;20000;0,1433;"36 months";"credit_card";0,2144;"GA";"MORTGAGE";6250;"700-704";9;14268;1;9;2,28288;0,19024;1;702
"19548";4000;4000;0,1074;"36 months";"debt_consolidation";0,0197;"KS";"RENT";2900;"695-699";13;1869;1;NA;0,64448275862069;0,0537068965517241;1;697
"103357";16000;15950;0,157;"36 months";"debt_consolidation";0,2351;"OH";"MORTGAGE";9333,33;"675-679";20;12721;5;11;1,36296477248742;0,113580397707285;0,996875;677
"59117";1400;1400;0,0976;"36 months";"vacation";0,2714;"NV";"MORTGAGE";4683,33;"730-734";6;6466;0;2;1,38064155205804;0,115053462671504;1;732
"15427";7500;7500;0,1632;"36 months";"debt_consolidation";0,1254;"CA";"MORTGAGE";4600;"665-669";3;6120;0;2;1,3304347826087;0,110869565217391;1;667
"224";24625;917,28;0,1407;"36 months";"credit_card";0,1281;"NY";"MORTGAGE";10000;"675-679";14;33698;0;8;3,3698;0,280816666666667;0,0372499492385787;677
"85618";5000;5000;0,1409;"36 months";"debt_consolidation";0,2902;"FL";"MORTGAGE";5416,67;"680-684";11;3977;1;0;0,734214932790811;0,0611845777325675;1;682
"43436";25000;24975;0,0991;"36 months";"debt_consolidation";0,2049;"NY";"RENT";7916,67;"725-729";14;27203;0;1;3,43616697424548;0,28634724785379;0,999;727
"19328";7500;7500;0,164;"36 months";"debt_consolidation";0,1334;"CA";"RENT";4166,67;"660-664";8;7430;0;0;1,78319857344114;0,148599881120095;1;662
"65134";34500;34450;0,0662;"36 months";"small_business";0,1646;"CA";"MORTGAGE";10000;"805-809";8;5317;0;9;0,5317;0,0443083333333333;0,998550724637681;807
"20263";10000;10000;0,0579;"36 months";"debt_consolidation";0,0649;"GA";"MORTGAGE";12500;"745-749";17;75629;0;1;6,05032;0,504193333333333;1;747
"9194";3200;3200;0,0988;"36 months";"debt_consolidation";0,0651;"MA";"RENT";4500;"740-744";7;3198;0;5;0,710666666666667;0,0592222222222222;1;742
"27520";5500;5500;0,1599;"60 months";"debt_consolidation";0,1795;"RI";"RENT";4250;"700-704";16;13256;0;11;3,11905882352941;0,259921568627451;1;702
"45941";3000;3000;0,0976;"36 months";"debt_consolidation";0,2182;"VA";"OWN";1100;"720-724";4;2413;0;NA;2,19363636363636;0,18280303030303;1;722
"69242";18000;18000;0,2328;"60 months";"debt_consolidation";0,0905;"WI";"RENT";7083,33;"660-664";6;13106;0;11;1,85025969423986;0,154188307853321;1;662
"2633";10000;9700;0,0963;"36 months";"debt_consolidation";0,1377;"OK";"MORTGAGE";4190;"735-739";6;1251;1;0;0,298568019093079;0,0248806682577566;0,97;737
"48662";8800;8800;0,1311;"36 months";"credit_card";0,1673;"WI";"RENT";3150,25;"700-704";13;14266;1;4;4,52852948178716;0,377377456815597;1;702
"65775";7000;7000;0,1114;"36 months";"debt_consolidation";0,2302;"TX";"MORTGAGE";6000;"705-709";17;19634;2;6;3,27233333333333;0,272694444444444;1;707
"92773";8000;8000;0,1311;"36 months";"debt_consolidation";0,1901;"AK";"RENT";2625;"725-729";8;7554;1;5;2,87771428571429;0,239809523809524;1;727
"33161";3000;3000;0,1727;"36 months";"credit_card";0,1662;"SC";"RENT";3833,33;"660-664";4;4136;0;NA;1,07895745996301;0,0899131216635841;1;662
"37985";12000;11975;0,0751;"36 months";"debt_consolidation";0,1191;"MD";"RENT";7500;"735-739";18;33702;1;11;4,4936;0,374466666666667;0,997916666666667;737
"2791";3600;3575;0,1411;"36 months";"small_business";4e-04;"WI";"RENT";2500;"725-729";4;1;0;3;4e-04;3,33333333333333e-05;0,993055555555556;727
"81950";11625;11625;0,1433;"36 months";"debt_consolidation";0,2284;"NY";"MORTGAGE";2833,33;"705-709";6;27411;2;8;9,67448196997879;0,806206830831566;1;707
"84215";30000;30000;0,2149;"36 months";"credit_card";0,167;"MD";"MORTGAGE";12500;"670-674";14;19096;2;9;1,52768;0,127306666666667;1;672
"93352";16000;16000;0,089;"36 months";"debt_consolidation";0,1971;"CO";"RENT";7083,33;"720-724";11;6185;1;4;0,873176881495003;0,0727647401245836;1;722
"10474";10800;10700;0,1075;"36 months";"major_purchase";0,1532;"FL";"MORTGAGE";8400;"715-719";6;24675;0;11;2,9375;0,244791666666667;0,990740740740741;717
"15717";25000;23655,48;0,1669;"60 months";"debt_consolidation";0,1411;"CO";"MORTGAGE";7666,67;"705-709";15;28748;3;8;3,74973750011413;0,312478125009511;0,9462192;707
"103874";10000;10000;0,1398;"60 months";"other";0,1486;"MO";"RENT";3916,67;"710-714";9;5188;4;4;1,32459461736628;0,110382884780524;1;712
"132";12375;275;0,1091;"36 months";"small_business";0,1639;"VA";"MORTGAGE";3892,75;"690-694";11;8332;2;3;2,14038918502344;0,17836576541862;0,0222222222222222;692
"5169";6000;6000;0,1148;"36 months";"credit_card";0,182;"NY";"MORTGAGE";5031,67;"705-709";9;50935;0;11;10,1228816675179;0,843573472293162;1;707
"29812";8000;8000;0,1349;"36 months";"debt_consolidation";0,1492;"CO";"RENT";5000;"685-689";18;4786;1;2;0,9572;0,0797666666666667;1;687
"56991";15000;15000;0,1825;"36 months";"credit_card";0,0973;"GA";"MORTGAGE";5000;"660-664";11;14596;0;8;2,9192;0,243266666666667;1;662
"62537";7000;7000;0,1777;"36 months";"other";0,3225;"NY";"RENT";3333,33;"665-669";12;35604;3;7;10,6812106812107;0,89010089010089;1;667
"22858";8400;8400;0,0692;"36 months";"renewable_energy";0,133;"MD";"RENT";3000;"745-749";9;6998;1;1;2,33266666666667;0,194388888888889;1;747
"78602";15000;15000;0,079;"36 months";"debt_consolidation";0,1862;"PA";"MORTGAGE";4500;"740-744";10;17212;0;7;3,82488888888889;0,318740740740741;1;742
"93778";15000;14925;0,1433;"36 months";"debt_consolidation";0,133;"TX";"RENT";5000;"665-669";7;11368;1;0;2,2736;0,189466666666667;0,995;667
"87504";2800;2800;0,1016;"36 months";"major_purchase";0,12;"NY";"RENT";2083,33;"695-699";7;7261;0;0;3,48528557645692;0,290440464704744;1;697
"92105";7750;7750;0,1629;"36 months";"debt_consolidation";0,2674;"FL";"MORTGAGE";2916,67;"680-684";18;17102;0;5;5,86353615595868;0,488628012996557;1;682
"59387";4500;4500;0,089;"36 months";"credit_card";0,1818;"UT";"RENT";2166,67;"700-704";8;5361;0;4;2,47430388568633;0,206191990473861;1;702
"6067";17500;17375;0,1253;"36 months";"debt_consolidation";0,2163;"CO";"RENT";3666,67;"715-719";7;20010;0;6;5,45726776612021;0,454772313843351;0,992857142857143;717
"62445";18000;18000;0,1531;"60 months";"debt_consolidation";0,0493;"CA";"RENT";5258,5;"710-714";6;11596;0;11;2,20519159456119;0,183765966213432;1;712
